"week","day1","day2","day3","day4","day5","day6","day7","lmin","lmax","mmin","dmin","mmax","dmax"
1,NA,NA,"Wednesday, January 01","Thursday, January 02","Friday, January 03","Saturday, January 04","Sunday, January 05","January 01","January 05","01","01","01","05"
2,"Monday, January 06","Tuesday, January 07","Wednesday, January 08","Thursday, January 09","Friday, January 10","Saturday, January 11","Sunday, January 12","January 06","January 12","01","06","01","12"
3,"Monday, January 13","Tuesday, January 14","Wednesday, January 15","Thursday, January 16","Friday, January 17","Saturday, January 18","Sunday, January 19","January 13","January 19","01","13","01","19"
4,"Monday, January 20","Tuesday, January 21","Wednesday, January 22","Thursday, January 23","Friday, January 24","Saturday, January 25","Sunday, January 26","January 20","January 26","01","20","01","26"
5,"Monday, January 27","Tuesday, January 28","Wednesday, January 29","Thursday, January 30","Friday, January 31","Saturday, February 01","Sunday, February 02","January 27","February 02","01","27","02","02"
6,"Monday, February 03","Tuesday, February 04","Wednesday, February 05","Thursday, February 06","Friday, February 07","Saturday, February 08","Sunday, February 09","February 03","February 09","02","03","02","09"
7,"Monday, February 10","Tuesday, February 11","Wednesday, February 12","Thursday, February 13","Friday, February 14","Saturday, February 15","Sunday, February 16","February 10","February 16","02","10","02","16"
8,"Monday, February 17","Tuesday, February 18","Wednesday, February 19","Thursday, February 20","Friday, February 21","Saturday, February 22","Sunday, February 23","February 17","February 23","02","17","02","23"
9,"Monday, February 24","Tuesday, February 25","Wednesday, February 26","Thursday, February 27","Friday, February 28","Saturday, February 29","Sunday, March 01","February 24","March 01","02","24","03","01"
10,"Monday, March 02","Tuesday, March 03","Wednesday, March 04","Thursday, March 05","Friday, March 06","Saturday, March 07","Sunday, March 08","March 02","March 08","03","02","03","08"
11,"Monday, March 09","Tuesday, March 10","Wednesday, March 11","Thursday, March 12","Friday, March 13","Saturday, March 14","Sunday, March 15","March 09","March 15","03","09","03","15"
12,"Monday, March 16","Tuesday, March 17","Wednesday, March 18","Thursday, March 19","Friday, March 20","Saturday, March 21","Sunday, March 22","March 16","March 22","03","16","03","22"
13,"Monday, March 23","Tuesday, March 24","Wednesday, March 25","Thursday, March 26","Friday, March 27","Saturday, March 28","Sunday, March 29","March 23","March 29","03","23","03","29"
14,"Monday, March 30","Tuesday, March 31","Wednesday, April 01","Thursday, April 02","Friday, April 03","Saturday, April 04","Sunday, April 05","March 30","April 05","03","30","04","05"
15,"Monday, April 06","Tuesday, April 07","Wednesday, April 08","Thursday, April 09","Friday, April 10","Saturday, April 11","Sunday, April 12","April 06","April 12","04","06","04","12"
16,"Monday, April 13","Tuesday, April 14","Wednesday, April 15","Thursday, April 16","Friday, April 17","Saturday, April 18","Sunday, April 19","April 13","April 19","04","13","04","19"
17,"Monday, April 20","Tuesday, April 21","Wednesday, April 22","Thursday, April 23","Friday, April 24","Saturday, April 25","Sunday, April 26","April 20","April 26","04","20","04","26"
18,"Monday, April 27","Tuesday, April 28","Wednesday, April 29","Thursday, April 30","Friday, May 01","Saturday, May 02","Sunday, May 03","April 27","May 03","04","27","05","03"
19,"Monday, May 04","Tuesday, May 05","Wednesday, May 06","Thursday, May 07","Friday, May 08",NA,NA,"May 04","May 08","05","04","05","08"
